,Discharge.stage@Herbert River,Discharge.stage@Herbert River,Discharge.stage@Herbert River,Discharge.stage@Herbert River
mm/dd/yyyy HH:MM:SS,ft^3/s,,,
Date-Time,Value,Grade,Approval,Interpolation Code
05/26/2019 13:15:00,1082.53792062948,,0,1
05/26/2019 13:30:00,1114.07018049856,,0,1
05/26/2019 13:45:00,1133.14592309164,,0,1
05/26/2019 14:00:00,1178.10854803561,,0,1
05/26/2019 14:15:00,1191.0706663086,,0,1
05/26/2019 14:30:00,1191.0706663086,,0,1
05/26/2019 14:45:00,1191.0706663086,,0,1
05/26/2019 15:00:00,1184.58320818248,,0,1
05/26/2019 15:15:00,1217.1480915005,,0,1
05/26/2019 15:30:00,1210.60963476927,,0,1
05/26/2019 15:45:00,1276.56352833786,,0,1
05/26/2019 16:00:00,1283.22816127355,,0,1
05/26/2019 16:15:00,1250.03052454835,,0,1
05/26/2019 16:30:00,1303.2970862272,,0,1
05/26/2019 16:45:00,1343.77094595287,,0,1
05/26/2019 17:00:00,1303.2970862272,,0,1
05/26/2019 17:15:00,1296.59495823103,,0,1
05/26/2019 17:30:00,1289.90531058981,,0,1
05/26/2019 17:45:00,1303.2970862272,,0,1
05/26/2019 18:00:00,1357.36127428748,,0,1
05/26/2019 18:15:00,1336.99430848871,,0,1
05/26/2019 18:30:00,1330.23004531927,,0,1
05/26/2019 18:45:00,1357.36127428748,,0,1
05/26/2019 19:00:00,1323.4781739151,,0,1
05/26/2019 19:15:00,1371.00089216677,,0,1
05/26/2019 19:30:00,1350.5599403222,,0,1
05/26/2019 19:45:00,1398.42745024094,,0,1
05/26/2019 20:00:00,1371.00089216677,,0,1
05/26/2019 20:15:00,1350.5599403222,,0,1
05/26/2019 20:30:00,1310.01167669324,,0,1
05/26/2019 20:45:00,1316.7387118283,,0,1
05/26/2019 21:00:00,1336.99430848871,,0,1
05/26/2019 21:15:00,1336.99430848871,,0,1
05/26/2019 21:30:00,1310.01167669324,,0,1
05/26/2019 21:45:00,1364.17493061915,,0,1
05/26/2019 22:00:00,1377.83914185833,,0,1
05/26/2019 22:15:00,1384.6896626997,,0,1
05/26/2019 22:30:00,1398.42745024094,,0,1
05/26/2019 22:45:00,1364.17493061915,,0,1
05/26/2019 23:00:00,1377.83914185833,,0,1
05/26/2019 23:15:00,1391.55243777397,,0,1
05/26/2019 23:30:00,1384.6896626997,,0,1
05/26/2019 23:45:00,1371.00089216677,,0,1
05/27/2019 00:00:00,1391.55243777397,,0,1
05/27/2019 00:15:00,1384.6896626997,,0,1
05/27/2019 00:30:00,1357.36127428748,,0,1
05/27/2019 00:45:00,1384.6896626997,,0,1
05/27/2019 01:00:00,1371.00089216677,,0,1
05/27/2019 01:15:00,1364.17493061915,,0,1
05/27/2019 01:30:00,1384.6896626997,,0,1
05/27/2019 01:45:00,1371.00089216677,,0,1
05/27/2019 02:00:00,1357.36127428748,,0,1
05/27/2019 02:15:00,1350.5599403222,,0,1
05/27/2019 02:30:00,1364.17493061915,,0,1
05/27/2019 02:45:00,1371.00089216677,,0,1
05/27/2019 03:00:00,1350.5599403222,,0,1
05/27/2019 03:15:00,1310.01167669324,,0,1
05/27/2019 03:30:00,1276.56352833786,,0,1
05/27/2019 03:45:00,1289.90531058981,,0,1
05/27/2019 04:00:00,1310.01167669324,,0,1
05/27/2019 04:15:00,1296.59495823103,,0,1
05/27/2019 04:30:00,1303.2970862272,,0,1
05/27/2019 04:45:00,1296.59495823103,,0,1
05/27/2019 05:00:00,1296.59495823103,,0,1
05/27/2019 05:15:00,1269.91142992465,,0,1
05/27/2019 05:30:00,1283.22816127355,,0,1
05/27/2019 05:45:00,1256.64490966906,,0,1
05/27/2019 06:00:00,1283.22816127355,,0,1
05/27/2019 06:15:00,1269.91142992465,,0,1
05/27/2019 06:30:00,1250.03052454835,,0,1
05/27/2019 06:45:00,1250.03052454835,,0,1
05/27/2019 07:00:00,1223.6992500335,,0,1
05/27/2019 07:15:00,1204.08389888473,,0,1
05/27/2019 07:30:00,1191.0706663086,,0,1
05/27/2019 07:45:00,1158.76155121859,,0,1
05/27/2019 08:00:00,1191.0706663086,,0,1
05/27/2019 08:15:00,1178.10854803561,,0,1
05/27/2019 08:30:00,1152.33827923311,,0,1
05/27/2019 08:45:00,1171.64670539342,,0,1
05/27/2019 09:00:00,1152.33827923311,,0,1
05/27/2019 09:15:00,1107.73760891718,,0,1
05/27/2019 09:30:00,1107.73760891718,,0,1
05/27/2019 09:45:00,1051.33373412451,,0,1
05/27/2019 10:00:00,1020.460301181,,0,1
05/27/2019 10:15:00,1026.6083963902,,0,1
05/27/2019 10:30:00,1032.7698093767,,0,1
05/27/2019 10:45:00,1020.460301181,,0,1
05/27/2019 11:00:00,1038.94451799257,,0,1
05/27/2019 11:15:00,1002.09614553552,,0,1
05/27/2019 11:30:00,1032.7698093767,,0,1
05/27/2019 11:45:00,1038.94451799257,,0,1
05/27/2019 12:00:00,1082.53792062948,,0,1
05/27/2019 12:15:00,1114.07018049856,,0,1
05/27/2019 12:30:00,1126.77435808312,,0,1
05/27/2019 12:45:00,1165.19769987993,,0,1
05/27/2019 13:00:00,1178.10854803561,,0,1
05/27/2019 13:15:00,1197.57090298628,,0,1
05/27/2019 13:30:00,1197.57090298628,,0,1
05/27/2019 13:45:00,1243.42874739494,,0,1
05/27/2019 14:00:00,1256.64490966906,,0,1
05/27/2019 14:15:00,1289.90531058981,,0,1
05/27/2019 14:30:00,1310.01167669324,,0,1
05/27/2019 14:45:00,1316.7387118283,,0,1
05/27/2019 15:00:00,1330.23004531927,,0,1
05/27/2019 15:15:00,1343.77094595287,,0,1
05/27/2019 15:30:00,1350.5599403222,,0,1
05/27/2019 15:45:00,1364.17493061915,,0,1
05/27/2019 16:00:00,1377.83914185833,,0,1
05/27/2019 16:15:00,1384.6896626997,,0,1
05/27/2019 16:30:00,1371.00089216677,,0,1
05/27/2019 16:45:00,1412.21412037184,,0,1
05/27/2019 17:00:00,1405.31468333645,,0,1
05/27/2019 17:15:00,1391.55243777397,,0,1
05/27/2019 17:30:00,1454.45559614299,,0,1
05/27/2019 17:45:00,1432.98548935105,,0,1
05/27/2019 18:00:00,1405.31468333645,,0,1
05/27/2019 18:15:00,1384.6896626997,,0,1
05/27/2019 18:30:00,1384.6896626997,,0,1
05/27/2019 18:45:00,1377.83914185833,,0,1
05/27/2019 19:00:00,1377.83914185833,,0,1
05/27/2019 19:15:00,1405.31468333645,,0,1
05/27/2019 19:30:00,1405.31468333645,,0,1
05/27/2019 19:45:00,1419.12574473337,,0,1
05/27/2019 20:00:00,1432.98548935105,,0,1
05/27/2019 20:15:00,1446.89378575646,,0,1
05/27/2019 20:30:00,1446.89378575646,,0,1
05/27/2019 20:45:00,1405.31468333645,,0,1
05/27/2019 21:00:00,1439.93357674922,,0,1
05/27/2019 21:15:00,1412.21412037184,,0,1
05/27/2019 21:30:00,1446.89378575646,,0,1
05/27/2019 21:45:00,1432.98548935105,,0,1
05/27/2019 22:00:00,1426.04953988164,,0,1
05/27/2019 22:15:00,1412.21412037184,,0,1
05/27/2019 22:30:00,1419.12574473337,,0,1
05/27/2019 22:45:00,1446.89378575646,,0,1
05/27/2019 23:00:00,1446.89378575646,,0,1
05/27/2019 23:15:00,1454.45559614299,,0,1
05/27/2019 23:30:00,1426.04953988164,,0,1
05/27/2019 23:45:00,1405.31468333645,,0,1
05/28/2019 00:00:00,1412.21412037184,,0,1
05/28/2019 00:15:00,1357.36127428748,,0,1
05/28/2019 00:30:00,1398.42745024094,,0,1
05/28/2019 00:45:00,1371.00089216677,,0,1
05/28/2019 01:00:00,1398.42745024094,,0,1
05/28/2019 01:15:00,1371.00089216677,,0,1
05/28/2019 01:30:00,1377.83914185833,,0,1
05/28/2019 01:45:00,1371.00089216677,,0,1
05/28/2019 02:00:00,1350.5599403222,,0,1
05/28/2019 02:15:00,1357.36127428748,,0,1
05/28/2019 02:30:00,1323.4781739151,,0,1
05/28/2019 02:45:00,1310.01167669324,,0,1
05/28/2019 03:00:00,1289.90531058981,,0,1
05/28/2019 03:15:00,1310.01167669324,,0,1
05/28/2019 03:30:00,1296.59495823103,,0,1
05/28/2019 03:45:00,1283.22816127355,,0,1
05/28/2019 04:00:00,1269.91142992465,,0,1
05/28/2019 04:15:00,1269.91142992465,,0,1
05/28/2019 04:30:00,1296.59495823103,,0,1
05/28/2019 04:45:00,1303.2970862272,,0,1
05/28/2019 05:00:00,1283.22816127355,,0,1
05/28/2019 05:15:00,1250.03052454835,,0,1
05/28/2019 05:30:00,1256.64490966906,,0,1
05/28/2019 05:45:00,1236.83959679293,,0,1
05/28/2019 06:00:00,1263.27188426284,,0,1
05/28/2019 06:15:00,1269.91142992465,,0,1
05/28/2019 06:30:00,1263.27188426284,,0,1
05/28/2019 06:45:00,1276.56352833786,,0,1
05/28/2019 07:00:00,1269.91142992465,,0,1
05/28/2019 07:15:00,1250.03052454835,,0,1
05/28/2019 07:30:00,1236.83959679293,,0,1
05/28/2019 07:45:00,1250.03052454835,,0,1
05/28/2019 08:00:00,1243.42874739494,,0,1
05/28/2019 08:15:00,1236.83959679293,,0,1
05/28/2019 08:30:00,1236.83959679293,,0,1
05/28/2019 08:45:00,1230.26309141707,,0,1
05/28/2019 09:00:00,1223.6992500335,,0,1
05/28/2019 09:15:00,1243.42874739494,,0,1
05/28/2019 09:30:00,1230.26309141707,,0,1
05/28/2019 09:45:00,1236.83959679293,,0,1
05/28/2019 10:00:00,1230.26309141707,,0,1
05/28/2019 10:15:00,1250.03052454835,,0,1
05/28/2019 10:30:00,1250.03052454835,,0,1
05/28/2019 10:45:00,1184.58320818248,,0,1
05/28/2019 11:00:00,1191.0706663086,,0,1
05/28/2019 11:15:00,1191.0706663086,,0,1
05/28/2019 11:30:00,1171.64670539342,,0,1
05/28/2019 11:45:00,1178.10854803561,,0,1
05/28/2019 12:00:00,1197.57090298628,,0,1
05/28/2019 12:15:00,1217.1480915005,,0,1
05/28/2019 12:30:00,1223.6992500335,,0,1
05/28/2019 12:45:00,1230.26309141707,,0,1
05/28/2019 13:00:00,1230.26309141707,,0,1
05/28/2019 13:15:00,1217.1480915005,,0,1
05/28/2019 13:30:00,1230.26309141707,,0,1
05/28/2019 13:45:00,1256.64490966906,,0,1
05/28/2019 14:00:00,1289.90531058981,,0,1
05/28/2019 14:15:00,1310.01167669324,,0,1
05/28/2019 14:30:00,1296.59495823103,,0,1
05/28/2019 14:45:00,1303.2970862272,,0,1
05/28/2019 15:00:00,1303.2970862272,,0,1
05/28/2019 15:15:00,1303.2970862272,,0,1
05/28/2019 15:30:00,1336.99430848871,,0,1
05/28/2019 15:45:00,1330.23004531927,,0,1
05/28/2019 16:00:00,1343.77094595287,,0,1
05/28/2019 16:15:00,1310.01167669324,,0,1
05/28/2019 16:30:00,1303.2970862272,,0,1
05/28/2019 16:45:00,1330.23004531927,,0,1
05/28/2019 17:00:00,1336.99430848871,,0,1
05/28/2019 17:15:00,1316.7387118283,,0,1
05/28/2019 17:30:00,1343.77094595287,,0,1
05/28/2019 17:45:00,1330.23004531927,,0,1
05/28/2019 18:00:00,1316.7387118283,,0,1
05/28/2019 18:15:00,1323.4781739151,,0,1
05/28/2019 18:30:00,1364.17493061915,,0,1
05/28/2019 18:45:00,1316.7387118283,,0,1
05/28/2019 19:00:00,1323.4781739151,,0,1
05/28/2019 19:15:00,1296.59495823103,,0,1
05/28/2019 19:30:00,1289.90531058981,,0,1
05/28/2019 19:45:00,1296.59495823103,,0,1
05/28/2019 20:00:00,1289.90531058981,,0,1
05/28/2019 20:15:00,1263.27188426284,,0,1
05/28/2019 20:30:00,1289.90531058981,,0,1
05/28/2019 20:45:00,1283.22816127355,,0,1
05/28/2019 21:00:00,1316.7387118283,,0,1
05/28/2019 21:15:00,1283.22816127355,,0,1
05/28/2019 21:30:00,1269.91142992465,,0,1
05/28/2019 21:45:00,1283.22816127355,,0,1
05/28/2019 22:00:00,1250.03052454835,,0,1
05/28/2019 22:15:00,1276.56352833786,,0,1
05/28/2019 22:30:00,1283.22816127355,,0,1
05/28/2019 22:45:00,1263.27188426284,,0,1
05/28/2019 23:00:00,1250.03052454835,,0,1
05/28/2019 23:15:00,1217.1480915005,,0,1
05/28/2019 23:30:00,1236.83959679293,,0,1
05/28/2019 23:45:00,1230.26309141707,,0,1
05/29/2019 00:00:00,1210.60963476927,,0,1
05/29/2019 00:15:00,1197.57090298628,,0,1
05/29/2019 00:30:00,1204.08389888473,,0,1
05/29/2019 00:45:00,1223.6992500335,,0,1
05/29/2019 01:00:00,1204.08389888473,,0,1
05/29/2019 01:15:00,1178.10854803561,,0,1
05/29/2019 01:30:00,1184.58320818248,,0,1
05/29/2019 01:45:00,1171.64670539342,,0,1
05/29/2019 02:00:00,1178.10854803561,,0,1
05/29/2019 02:15:00,1171.64670539342,,0,1
05/29/2019 02:30:00,1152.33827923311,,0,1
05/29/2019 02:45:00,1158.76155121859,,0,1
05/29/2019 03:00:00,1152.33827923311,,0,1
05/29/2019 03:15:00,1145.92790384837,,0,1
05/29/2019 03:30:00,1107.73760891718,,0,1
05/29/2019 03:45:00,1126.77435808312,,0,1
05/29/2019 04:00:00,1126.77435808312,,0,1
05/29/2019 04:15:00,1114.07018049856,,0,1
05/29/2019 04:30:00,1114.07018049856,,0,1
05/29/2019 04:45:00,1101.4180763181,,0,1
05/29/2019 05:00:00,1088.81821124291,,0,1
05/29/2019 05:15:00,1076.2707527257,,0,1
05/29/2019 05:30:00,1107.73760891718,,0,1
05/29/2019 05:45:00,1107.73760891718,,0,1
05/29/2019 06:00:00,1107.73760891718,,0,1
05/29/2019 06:15:00,1107.73760891718,,0,1
05/29/2019 06:30:00,1107.73760891718,,0,1
05/29/2019 06:45:00,1076.2707527257,,0,1
05/29/2019 07:00:00,1057.54819794522,,0,1
05/29/2019 07:15:00,1082.53792062948,,0,1
05/29/2019 07:30:00,1063.77587000238,,0,1
05/29/2019 07:45:00,1076.2707527257,,0,1
05/29/2019 08:00:00,1057.54819794522,,0,1
05/29/2019 08:15:00,1051.33373412451,,0,1
05/29/2019 08:30:00,1020.460301181,,0,1
05/29/2019 08:45:00,989.920375586323,,0,1
05/29/2019 09:00:00,947.730177380248,,0,1
05/29/2019 09:15:00,918.00237401945,,0,1
05/29/2019 09:30:00,941.757285920315,,0,1
05/29/2019 09:45:00,971.757678083217,,0,1
05/29/2019 10:00:00,971.757678083217,,0,1
05/29/2019 10:15:00,947.730177380248,,0,1
05/29/2019 10:30:00,965.730460064157,,0,1
05/29/2019 10:45:00,959.716788213334,,0,1
05/29/2019 11:00:00,947.730177380248,,0,1
05/29/2019 11:15:00,941.757285920315,,0,1
05/29/2019 11:30:00,935.798035675965,,0,1
05/29/2019 11:45:00,941.757285920315,,0,1
05/29/2019 12:00:00,947.730177380248,,0,1
05/29/2019 12:15:00,959.716788213334,,0,1
05/29/2019 12:30:00,965.730460064157,,0,1
05/29/2019 12:45:00,977.798418847781,,0,1
05/29/2019 13:00:00,1002.09614553552,,0,1
05/29/2019 13:15:00,1038.94451799257,,0,1
05/29/2019 13:30:00,1020.460301181,,0,1
05/29/2019 13:45:00,989.920375586323,,0,1
05/29/2019 14:00:00,1008.2041532981,,0,1
05/29/2019 14:15:00,1045.13250021086,,0,1
05/29/2019 14:30:00,1045.13250021086,,0,1
05/29/2019 14:45:00,1070.01672874203,,0,1
05/29/2019 15:00:00,1088.81821124291,,0,1
05/29/2019 15:15:00,1076.2707527257,,0,1
05/29/2019 15:30:00,1101.4180763181,,0,1
05/29/2019 15:45:00,1095.11160346797,,0,1
05/29/2019 16:00:00,1107.73760891718,,0,1
05/29/2019 16:15:00,1107.73760891718,,0,1
05/29/2019 16:30:00,1120.41577040408,,0,1
05/29/2019 16:45:00,1152.33827923311,,0,1
05/29/2019 17:00:00,1145.92790384837,,0,1
05/29/2019 17:15:00,1133.14592309164,,0,1
05/29/2019 17:30:00,1139.53044509127,,0,1
05/29/2019 17:45:00,1171.64670539342,,0,1
05/29/2019 18:00:00,1158.76155121859,,0,1
05/29/2019 18:15:00,1152.33827923311,,0,1
05/29/2019 18:30:00,1145.92790384837,,0,1
05/29/2019 18:45:00,1165.19769987993,,0,1
05/29/2019 19:00:00,1107.73760891718,,0,1
05/29/2019 19:15:00,1107.73760891718,,0,1
05/29/2019 19:30:00,1107.73760891718,,0,1
05/29/2019 19:45:00,1114.07018049856,,0,1
05/29/2019 20:00:00,1114.07018049856,,0,1
05/29/2019 20:15:00,1133.14592309164,,0,1
05/29/2019 20:30:00,1139.53044509127,,0,1
05/29/2019 20:45:00,1139.53044509127,,0,1
05/29/2019 21:00:00,1133.14592309164,,0,1
05/29/2019 21:15:00,1133.14592309164,,0,1
05/29/2019 21:30:00,1120.41577040408,,0,1
05/29/2019 21:45:00,1107.73760891718,,0,1
05/29/2019 22:00:00,1133.14592309164,,0,1
05/29/2019 22:15:00,1133.14592309164,,0,1
05/29/2019 22:30:00,1114.07018049856,,0,1
05/29/2019 22:45:00,1095.11160346797,,0,1
05/29/2019 23:00:00,1107.73760891718,,0,1
05/29/2019 23:15:00,1133.14592309164,,0,1
05/29/2019 23:30:00,1114.07018049856,,0,1
05/29/2019 23:45:00,1114.07018049856,,0,1
05/30/2019 00:00:00,1095.11160346797,,0,1
05/30/2019 00:15:00,1101.4180763181,,0,1
05/30/2019 00:30:00,1120.41577040408,,0,1
05/30/2019 00:45:00,1107.73760891718,,0,1
05/30/2019 01:00:00,1107.73760891718,,0,1
05/30/2019 01:15:00,1095.11160346797,,0,1
05/30/2019 01:30:00,1101.4180763181,,0,1
05/30/2019 01:45:00,1070.01672874203,,0,1
05/30/2019 02:00:00,1076.2707527257,,0,1
05/30/2019 02:15:00,1057.54819794522,,0,1
05/30/2019 02:30:00,1076.2707527257,,0,1
05/30/2019 02:45:00,1051.33373412451,,0,1
05/30/2019 03:00:00,1038.94451799257,,0,1
05/30/2019 03:15:00,1063.77587000238,,0,1
05/30/2019 03:30:00,1038.94451799257,,0,1
05/30/2019 03:45:00,1045.13250021086,,0,1
05/30/2019 04:00:00,1032.7698093767,,0,1
05/30/2019 04:15:00,1038.94451799257,,0,1
05/30/2019 04:30:00,1026.6083963902,,0,1
05/30/2019 04:45:00,1020.460301181,,0,1
05/30/2019 05:00:00,1014.32554601919,,0,1
05/30/2019 05:15:00,1020.460301181,,0,1
05/30/2019 05:30:00,1014.32554601919,,0,1
05/30/2019 05:45:00,1008.2041532981,,0,1
05/30/2019 06:00:00,1020.460301181,,0,1
05/30/2019 06:15:00,1014.32554601919,,0,1
05/30/2019 06:30:00,977.798418847781,,0,1
05/30/2019 06:45:00,941.757285920315,,0,1
05/30/2019 07:00:00,923.920555405599,,0,1
05/30/2019 07:15:00,900.330359718336,,0,1
05/30/2019 07:30:00,906.207251422006,,0,1
05/30/2019 07:45:00,900.330359718336,,0,1
05/30/2019 08:00:00,865.359966819486,,0,1
05/30/2019 08:15:00,859.580298968385,,0,1
05/30/2019 08:30:00,825.197049155377,,0,1
05/30/2019 08:45:00,825.197049155377,,0,1
05/30/2019 09:00:00,819.515882282913,,0,1
05/30/2019 09:15:00,819.515882282913,,0,1
05/30/2019 09:30:00,819.515882282913,,0,1
05/30/2019 09:45:00,808.196113221579,,0,1
05/30/2019 10:00:00,808.196113221579,,0,1
05/30/2019 10:15:00,819.515882282913,,0,1
05/30/2019 10:30:00,825.197049155377,,0,1
05/30/2019 10:45:00,808.196113221579,,0,1
05/30/2019 11:00:00,813.848894506956,,0,1
05/30/2019 11:15:00,813.848894506956,,0,1
05/30/2019 11:30:00,813.848894506956,,0,1
05/30/2019 11:45:00,842.325353001297,,0,1
05/30/2019 12:00:00,865.359966819486,,0,1
05/30/2019 12:15:00,865.359966819486,,0,1
05/30/2019 12:30:00,888.618040380203,,0,1
05/30/2019 12:45:00,918.00237401945,,0,1
05/30/2019 13:00:00,947.730177380248,,0,1
05/30/2019 13:15:00,965.730460064157,,0,1
05/30/2019 13:30:00,971.757678083217,,0,1
05/30/2019 13:45:00,983.852659068137,,0,1
05/30/2019 14:00:00,1014.32554601919,,0,1
05/30/2019 14:15:00,1014.32554601919,,0,1
05/30/2019 14:30:00,1032.7698093767,,0,1
05/30/2019 14:45:00,1070.01672874203,,0,1
05/30/2019 15:00:00,1088.81821124291,,0,1
05/30/2019 15:15:00,1088.81821124291,,0,1
05/30/2019 15:30:00,1095.11160346797,,0,1
05/30/2019 15:45:00,1107.73760891718,,0,1
05/30/2019 16:00:00,1107.73760891718,,0,1
05/30/2019 16:15:00,1145.92790384837,,0,1
05/30/2019 16:30:00,1126.77435808312,,0,1
05/30/2019 16:45:00,1107.73760891718,,0,1
05/30/2019 17:00:00,1126.77435808312,,0,1
05/30/2019 17:15:00,1165.19769987993,,0,1
05/30/2019 17:30:00,1101.4180763181,,0,1
05/30/2019 17:45:00,1120.41577040408,,0,1
05/30/2019 18:00:00,1171.64670539342,,0,1
05/30/2019 18:15:00,1197.57090298628,,0,1
05/30/2019 18:30:00,1165.19769987993,,0,1
05/30/2019 18:45:00,1165.19769987993,,0,1
05/30/2019 19:00:00,1126.77435808312,,0,1
05/30/2019 19:15:00,1152.33827923311,,0,1
05/30/2019 19:30:00,1139.53044509127,,0,1
05/30/2019 19:45:00,1165.19769987993,,0,1
05/30/2019 20:00:00,1191.0706663086,,0,1
05/30/2019 20:15:00,1184.58320818248,,0,1
05/30/2019 20:30:00,1145.92790384837,,0,1
05/30/2019 20:45:00,1145.92790384837,,0,1
05/30/2019 21:00:00,1158.76155121859,,0,1
05/30/2019 21:15:00,1133.14592309164,,0,1
05/30/2019 21:30:00,1165.19769987993,,0,1
05/30/2019 21:45:00,1184.58320818248,,0,1
05/30/2019 22:00:00,1145.92790384837,,0,1
05/30/2019 22:15:00,1145.92790384837,,0,1
05/30/2019 22:30:00,1145.92790384837,,0,1
05/30/2019 22:45:00,1158.76155121859,,0,1
05/30/2019 23:00:00,1145.92790384837,,0,1
05/30/2019 23:15:00,1158.76155121859,,0,1
05/30/2019 23:30:00,1178.10854803561,,0,1
05/30/2019 23:45:00,1178.10854803561,,0,1
05/31/2019 00:00:00,1191.0706663086,,0,1
05/31/2019 00:15:00,1171.64670539342,,0,1
05/31/2019 00:30:00,1158.76155121859,,0,1
05/31/2019 00:45:00,1184.58320818248,,0,1
05/31/2019 01:00:00,1178.10854803561,,0,1
05/31/2019 01:15:00,1184.58320818248,,0,1
05/31/2019 01:30:00,1191.0706663086,,0,1
05/31/2019 01:45:00,1171.64670539342,,0,1
05/31/2019 02:00:00,1165.19769987993,,0,1
05/31/2019 02:15:00,1139.53044509127,,0,1
05/31/2019 02:30:00,1152.33827923311,,0,1
05/31/2019 02:45:00,1165.19769987993,,0,1
05/31/2019 03:00:00,1184.58320818248,,0,1
05/31/2019 03:15:00,1165.19769987993,,0,1
05/31/2019 03:30:00,1152.33827923311,,0,1
05/31/2019 03:45:00,1145.92790384837,,0,1
05/31/2019 04:00:00,1152.33827923311,,0,1
05/31/2019 04:15:00,1152.33827923311,,0,1
05/31/2019 04:30:00,1158.76155121859,,0,1
05/31/2019 04:45:00,1145.92790384837,,0,1
05/31/2019 05:00:00,1145.92790384837,,0,1
05/31/2019 05:15:00,1158.76155121859,,0,1
05/31/2019 05:30:00,1145.92790384837,,0,1
05/31/2019 05:45:00,1139.53044509127,,0,1
05/31/2019 06:00:00,1120.41577040408,,0,1
05/31/2019 06:15:00,1120.41577040408,,0,1
05/31/2019 06:30:00,1120.41577040408,,0,1
05/31/2019 06:45:00,1107.73760891718,,0,1
05/31/2019 07:00:00,1082.53792062948,,0,1
05/31/2019 07:15:00,1095.11160346797,,0,1
05/31/2019 07:30:00,1107.73760891718,,0,1
05/31/2019 07:45:00,1095.11160346797,,0,1
05/31/2019 08:00:00,1095.11160346797,,0,1
05/31/2019 08:15:00,1088.81821124291,,0,1
05/31/2019 08:30:00,1088.81821124291,,0,1
05/31/2019 08:45:00,1107.73760891718,,0,1
05/31/2019 09:00:00,1114.07018049856,,0,1
05/31/2019 09:15:00,1088.81821124291,,0,1
05/31/2019 09:30:00,1082.53792062948,,0,1
05/31/2019 09:45:00,1076.2707527257,,0,1
05/31/2019 10:00:00,1076.2707527257,,0,1
05/31/2019 10:15:00,1070.01672874203,,0,1
05/31/2019 10:30:00,1076.2707527257,,0,1
05/31/2019 10:45:00,1076.2707527257,,0,1
05/31/2019 11:00:00,1082.53792062948,,0,1
05/31/2019 11:15:00,1088.81821124291,,0,1
05/31/2019 11:30:00,1095.11160346797,,0,1
05/31/2019 11:45:00,1095.11160346797,,0,1
05/31/2019 12:00:00,1076.2707527257,,0,1
05/31/2019 12:15:00,1107.73760891718,,0,1
05/31/2019 12:30:00,1114.07018049856,,0,1
05/31/2019 12:45:00,1120.41577040408,,0,1
05/31/2019 13:00:00,1139.53044509127,,0,1
05/31/2019 13:15:00,1145.92790384837,,0,1
05/31/2019 13:30:00,1152.33827923311,,0,1
05/31/2019 13:45:00,1126.77435808312,,0,1
05/31/2019 14:00:00,1158.76155121859,,0,1
05/31/2019 14:15:00,1191.0706663086,,0,1
05/31/2019 14:30:00,1191.0706663086,,0,1
05/31/2019 14:45:00,1165.19769987993,,0,1
05/31/2019 15:00:00,1152.33827923311,,0,1
05/31/2019 15:15:00,1152.33827923311,,0,1
05/31/2019 15:30:00,1178.10854803561,,0,1
05/31/2019 15:45:00,1158.76155121859,,0,1
05/31/2019 16:00:00,1158.76155121859,,0,1
05/31/2019 16:15:00,1184.58320818248,,0,1
05/31/2019 16:30:00,1152.33827923311,,0,1
05/31/2019 16:45:00,1178.10854803561,,0,1
05/31/2019 17:00:00,1204.08389888473,,0,1
05/31/2019 17:15:00,1210.60963476927,,0,1
05/31/2019 17:30:00,1191.0706663086,,0,1
05/31/2019 17:45:00,1191.0706663086,,0,1
05/31/2019 18:00:00,1204.08389888473,,0,1
05/31/2019 18:15:00,1197.57090298628,,0,1
05/31/2019 18:30:00,1204.08389888473,,0,1
05/31/2019 18:45:00,1184.58320818248,,0,1
05/31/2019 19:00:00,1210.60963476927,,0,1
05/31/2019 19:15:00,1210.60963476927,,0,1
05/31/2019 19:30:00,1210.60963476927,,0,1
05/31/2019 19:45:00,1223.6992500335,,0,1
05/31/2019 20:00:00,1210.60963476927,,0,1
05/31/2019 20:15:00,1184.58320818248,,0,1
05/31/2019 20:30:00,1217.1480915005,,0,1
05/31/2019 20:45:00,1236.83959679293,,0,1
05/31/2019 21:00:00,1243.42874739494,,0,1
05/31/2019 21:15:00,1230.26309141707,,0,1
05/31/2019 21:30:00,1230.26309141707,,0,1
05/31/2019 21:45:00,1269.91142992465,,0,1
05/31/2019 22:00:00,1303.2970862272,,0,1
05/31/2019 22:15:00,1316.7387118283,,0,1
05/31/2019 22:30:00,1283.22816127355,,0,1
05/31/2019 22:45:00,1296.59495823103,,0,1
05/31/2019 23:00:00,1310.01167669324,,0,1
05/31/2019 23:15:00,1296.59495823103,,0,1
05/31/2019 23:30:00,1296.59495823103,,0,1
05/31/2019 23:45:00,1350.5599403222,,0,1
06/01/2019 00:00:00,1330.23004531927,,0,1
06/01/2019 00:15:00,1323.4781739151,,0,1
06/01/2019 00:30:00,1336.99430848871,,0,1
06/01/2019 00:45:00,1336.99430848871,,0,1
06/01/2019 01:00:00,1364.17493061915,,0,1
06/01/2019 01:15:00,1343.77094595287,,0,1
